DateTime,AddedIPs,RemovedIPs
1495317903,256,256
1495318802,3,33
1495320306,0,1
1495321803,512,512
1495322140,12,5
1495323603,256,256
1495325103,4,0
1495325829,29,10
1495329611,21,8
1495332962,1,6
1495336510,9,29
1495340402,8,7
1495344006,9,21
1495347347,1,7
1495349116,0,1
1495351202,24,8
1495355105,5,16
1495358413,12,15
1495361719,15,2
1495365319,9,11
1495369503,5,2
1495372805,3,14
1495376645,5,21
1495380002,5,13
1495383002,1792,1792
1495383903,15,18
1495386002,256,4864
1495386603,256,256
1495387207,5,13
1495388709,256,256
1495390543,12,13
1495394122,15,6
